2018-04-20 18:32:14,"b' #JDWPL LINE-UP | Carmarthen Town (@CarmarthenAFC) v Aberystwyth Town (@AberystwythTown) \n\nIdzi, Cummings, Knott, Surman (C\xe2\x80\xa6 https://t.co/2pYFX8Gt39'",London
2018-04-20 18:30:42,"b' #JDWPL LINE-UP | Aberystwyth Town (@AberystwythTown) v Carmarthen Town (@CarmarthenAFC)\n\nMullock, Walker, Young (C), Wolla\xe2\x80\xa6 https://t.co/wJAUnyn3x4'",London
2018-04-20 18:29:06,b'\xf0\x9f\x93\x8b Here\xe2\x80\x99s tonight\xe2\x80\x99s teams from Park Avenue. #JDWPL https://t.co/q4VggaIFjb',London
2018-04-20 18:28:35,b' #JDWPL RT @TiWelshFootball: JD @WPL_Official fixtures - 20/04/18\n\n@tnsfc v @the_nomads - 19:45\n@AberystwythTown v @CarmarthenAFC - 20:00\n\nCarmarth\xe2\x80\xa6',London
2018-04-20 18:26:15,b' #JDWPL JD @WPL_Official fixtures - 20/04/18\n\n@tnsfc v @the_nomads - 19:45\n@AberystwythTown v @CarmarthenAFC - 20:00\n\nCarma\xe2\x80\xa6 https://t.co/SFhzWX27ec',London
2018-04-20 18:17:59,b'RT @steery1991: The @tnsfc being watched by the no 1 fan! #comeonyousaints #champions #JDWPL https://t.co/0PEyefOMfY',London
2018-04-20 18:17:52,"b"" #JDWPL LINE-UP | Connah's Quay Nomads (@the_nomads) v The New Saints (@tnsfc)\n\nDanby, Pearson, Edwards, Harrison, Morris (\xe2\x80\xa6 https://t.co/USBqRXfqx8""",London
2018-04-20 18:16:48,b'RT @WPL_Official: \xf0\x9f\x93\x8b Team news from Park Hall as the top two prepare to square off. #JDWPL https://t.co/96W08ehGY4',London
2018-04-20 18:16:14,b' #JDWPL And here\xe2\x80\x99s the misty scene at Park Avenue ahead of @AberystwythTown v @CarmarthenAFC. Kick off on the west coast is\xe2\x80\xa6 https://t.co/ga8rXBQvqx',London
2018-04-20 18:15:30,"b"" #JDWPL LINE-UP | The New Saints (@tnsfc) v Connah's Quay Nomads (@the_nomads)\n\nHarrison (C), Spender, Saunders, Routledge,\xe2\x80\xa6 https://t.co/sCS0lOCZF1""",London
2018-04-20 18:13:28,b'The @tnsfc being watched by the no 1 fan! #comeonyousaints #champions #JDWPL https://t.co/0PEyefOMfY',London
