2018-04-20 20:19:57,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:19:50,"b"" #LFCU18s Rafa Camacho Goal - Liverpool u18s 2-1 Man United u18s - 20/04/18 https://t.co/DBHXG2lGX2 via @YouTube Don't forget\xe2\x80\xa6 https://t.co/37c9Rbvt73""",London
2018-04-20 20:19:48,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:19:47,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:19:45,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:19:17,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:18:57,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:18:56,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:18:44,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:18:34,"b'RT @LFC: Superb work from #LFCU18s in the second half, despite being down to 10 men. \xf0\x9f\x91\x8f https://t.co/mk87saSO8O'",London
2018-04-20 20:18:20,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:18:09,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
2018-04-20 20:18:08,b'RT @LFC: #LFCU18s dig deep to beat @ManUtd at Kirkby. \xf0\x9f\x91\x8a\n\n\xf0\x9f\x93\xb0 How it all unfolded: https://t.co/av151czeh8 https://t.co/i08s3bon29',London
