2018-04-20 20:12:17,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:11:58,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:11:56,b'RT @BushraPuth: @charlieputh CharChar loved your performance that aired on #BBC #SoundsLikeFridayNight .You were amazing loved it \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x92\x9e\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xe2\x80\xa6',London
2018-04-20 20:11:50,b'RT @BushraPuth: @charlieputh \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9f\xf0\x9f\x92\x9e\xf0\x9f\x92\x9e\xf0\x9f\x92\x9e\xf0\x9f\x92\x9e\xf0\x9f\x92\x9e\xf0\x9f\x92\x9e\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95 I really enjoyed watching u on #BBC #SoundsLikeFridayNight. #clip https\xe2\x80\xa6',London
2018-04-20 20:11:47,b'RT @bbcmusic: \xe2\x9d\xa4\xef\xb8\x8f @JorjaSmith this was utterly stunning #BlueLights\n#SoundsLikeFridayNight https://t.co/rxQGqJSvvm',London
2018-04-20 20:11:45,b'RT @BBCOne: \xf0\x9f\x8e\xb9 + @CharliePuth = perfection\n#SoundsLikeFridayNight https://t.co/YHcQorroDS',London
2018-04-20 20:11:45,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:11:42,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:11:40,b'RT @bbcmusic: Hands up if you noticed @ShawnMendes bopping to @CraigDavid \xf0\x9f\x98\x8e\n#SoundsLikeFridayNight https://t.co/IEfFRapfB2',London
2018-04-20 20:11:31,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part One/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
