2018-04-20 18:55:33,b' #cosyreadingnight I am taking a small interlude from #ChildrenOfBloodAndBone to read some of #TheGoodImmigrant by @nikeshshukla Want\xe2\x80\xa6 https://t.co/nIKpSkq2ei',London
2018-04-20 18:53:43,b'Late to #cosyreadingnight but ready to start reading!',London
2018-04-20 18:52:19,b'RT @thecoolkid556: For #cosyreadingnight hosted by @laurenthebooks I\xe2\x80\x99m reading on the other side by @CarrieHFletcher and Great Expectation\xe2\x80\xa6',London
2018-04-20 18:44:58,b'It\xe2\x80\x99s dip city for us for #cosyreadingnight tonight. What are you guys snacking on? https://t.co/D35L9cdUY5',London
2018-04-20 18:43:16,b'For #cosyreadingnight hosted by @laurenthebooks I\xe2\x80\x99m reading on the other side by @CarrieHFletcher and Great Expecta\xe2\x80\xa6 https://t.co/PD1cN8wBGe',London
2018-04-20 18:42:56,"b""@BlackcatLouise @LushWeCare @laurenthebooks I'm really loving it so far! #cosyreadingnight""",London
2018-04-20 18:40:32,b'Twitter is back working! #cosyreadingnight',London
2018-04-20 18:38:59,b'What are people\xe2\x80\x99s #cosyreadingnight playlists?',London
2018-04-20 18:38:08,b'Is it too early to complain it\xe2\x80\x99s too warm? #cosyreadingnight #ukweather',London
2018-04-20 18:34:13,b'All settled and enjoying #cosyreadingnight with the fire and some gentle music!',London
2018-04-20 18:32:09,"b""Oh, hey, it's #cosyreadingnight! I just happened to be reading this, so Iguess I'll continue with this and other bo\xe2\x80\xa6 https://t.co/fecH7feao0""",London
2018-04-20 18:30:32,b'So you have all decided that this is going to be my first read for #cosyreadingnight so off I go... https://t.co/71vt3MowjN',London
2018-04-20 18:29:51,"b'First book down - manga edition of The Blind Banker, now onto The Trick to Time by Kit de Waal. #cosyreadingnight'",London
2018-04-20 18:28:06,b'Have a great #cosyreadingnight. https://t.co/WJthza9zYF',London
2018-04-20 18:27:37,b'My Twitter wasn\xe2\x80\x99t tweeting for a while there gang but we are back in #cosyreadingnight BUSINESS!',London
2018-04-20 18:25:38,b'Reading/listening this for the beginning of #cosyreadingnight',London
2018-04-20 18:18:39,b'It\xe2\x80\x99s 2:00 pm in my time zone but I think I\xe2\x80\x99m going to participate in #cosyreadingnight. I\xe2\x80\x99ve got my coffee. I\xe2\x80\x99ve go\xe2\x80\xa6 https://t.co/22nYzgANIX',London
2018-04-20 18:18:23,"b'And we\xe2\x80\x99re off! So excited for another #cosyreadingnight, very much looking forward to a few hours of getting stuck\xe2\x80\xa6 https://t.co/n8W2zERGa2'",London
2018-04-20 18:18:11,b'Getting cozy on this warm April evening for my favourite reading event...#cosyreadingnight \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xe2\x80\xa6 https://t.co/kk4A6wGIsK',London
2018-04-20 18:17:34,b'And relax.... \xf0\x9f\x9b\x81\n\nKick starting the #cosyreadingnight with a good old bubble bath. My one &amp; only read for the event\xe2\x80\xa6 https://t.co/FYXurDSUhZ',London
2018-04-20 18:15:44,"b""Happy #cosyreadingnight! I've started by reading Black Boy on the train back home. Crushingly sad so far. https://t.co/V1eJLvtfGh""",London
2018-04-20 18:14:32,b'Starting my #cosyreadingnight with the last 80 pages of Crooked Kingdom and a bottle of Yazoo in front of my fan co\xe2\x80\xa6 https://t.co/xumwzvMlxS',London
2018-04-20 18:13:22,b'Summer jammies and Vera to start #cosyreadingnight https://t.co/0qYQKoBJAu',London
2018-04-20 18:13:17,"b'Still cooking, so will be late to my #cosyreadingnight book.'",London
2018-04-20 18:12:53,b'All set for #cosyreadingnight (7-10pm) at 6.55pm and Twitter is down. \xf0\x9f\x99\x84 https://t.co/XEoKrNyqnk',London
2018-04-20 18:12:14,b'My #cosyreadingnight tbr. https://t.co/0V3GSJUYSy',London
2018-04-20 18:11:09,b'Ready to go with @laurenthebooks for #cosyreadingnight!!! https://t.co/zSFigvB5Wx',London
2018-04-20 18:11:06,b'ready for #cosyreadingnight... let`s start',London
2018-04-20 17:44:15,b'Starting #cosyreadingnight in the bath with this classic. \xf0\x9f\x98\x8a https://t.co/EcPAeim018',London
2018-04-20 17:41:06,"b""My picks for #cosyreadingnight  now going to get a big cup of coffee and some chocolate, then I'm going to start re\xe2\x80\xa6 https://t.co/LLuw9gz6p0""",London
2018-04-20 17:37:45,b'Looking forward to #cosyreadingnight with @laurenthebooks tonight! #fridayreads https://t.co/XeaFJP3Ek8 https://t.co/OXDnWsNsHu',London
2018-04-20 17:35:12,"b""RT @S_PoweredPixie: This #vlog is better late than never, right?! \xf0\x9f\x98\x9c I share my #TBRList for tonight's #cosyreadingnight hosted by @laurenth\xe2\x80\xa6""",London
2018-04-20 17:35:10,"b""RT @JGofton: When I remember it's @laurenthebooks' #cosyreadingnight tonight, I've just started a book I can't wait to go home and read, it\xe2\x80\xa6""",London
2018-04-20 17:34:31,b'Starting my #cosyreadingnight a little early tonight \xf0\x9f\x92\x96 matching my bath to my book with the help of @LushWeCare\xe2\x80\xa6 https://t.co/aNbSo6F9En',London
2018-04-20 17:30:51,b'Absolutely ready for #cosyreadingnight \xf0\x9f\x8d\xab https://t.co/Ovq2IU5ISy',London
2018-04-20 17:07:23,"b""This #vlog is better late than never, right?! \xf0\x9f\x98\x9c I share my #TBRList for tonight's #cosyreadingnight hosted by\xe2\x80\xa6 https://t.co/RPOPkZQH7i""",London
2018-04-20 17:04:20,"b""#cosyreadingnight  \nWe're off ! Cosy clothes and plenty of reading stuff \nSnacks in a while .... https://t.co/bTDkOf8EDm""",London
2018-04-20 17:02:08,"b""Can't decide what book to pick up for #cosyreadingnight , Any suggestions?? #bookstagram #books #cantdecide\xe2\x80\xa6 https://t.co/uBR9WN4Ki6""",London
2018-04-20 16:58:17,"b'One hour until #cosyreadingnight and my TBR is here and ready, along this little cutie succulent guy. Who is joinin\xe2\x80\xa6 https://t.co/7GKSCaQzov'",London
2018-04-20 15:58:08,"b""The Weekend is here with today's #CosyReadingNight and my city's Book Fair.\nI loved the Little\xe2\x80\xa6 https://t.co/DuKaYz5eG7""",London
2018-04-20 15:45:05,"b""I shall be continuing to read #AceOfShades by @AmandaFoody for tonight's #CosyReadingNight \xe2\x98\xba""",London
2018-04-20 15:33:32,"b""When I remember it's @laurenthebooks' #cosyreadingnight tonight, I've just started a book I can't wait to go home a\xe2\x80\xa6 https://t.co/S6PJkaURKE""",London
2018-04-20 15:01:06,b' #cosyreadingnight RT @Rhonddalad: @laurenthebooks I\xe2\x80\x99ll be finishing off the second in the Miss Peregrine trilogy called \xe2\x80\x98Hallow City\xe2\x80\x99 by @ransomriggs and the\xe2\x80\xa6',London
2018-04-20 15:00:53,"b""RT @BlackcatLouise: @laurenthebooks Really looking forward to #cosyreadingnight ; it's been a difficult week and I have a good book or two\xe2\x80\xa6""",London
