2018-04-20 19:00:03,b' #MUNTOT \xf0\x9f\x8f\x86 FA CUP SEMI BOOST \xf0\x9f\x8f\x86\n\nRegister with Coral &amp; get 25/1 on a goal to be scored in Man Utd v Tottenham tomorrow! \xe2\x9a\xbd\n\n\xe2\x9e\xa1\xe2\x80\xa6 https://t.co/ZirmATkkFt',London
2018-04-20 19:00:02,b' #MUNTOT HUGE new customer offer! \xf0\x9f\x92\xb7 \n50/1 on Man Utd to win vs Spurs tomorrow!\n\nClaim limited offer \xe2\x96\xb6\xef\xb8\x8f\xe2\x80\xa6 https://t.co/21mcNs2NpI',London
2018-04-20 18:59:51,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:59:25,b' #MUNTOT Starting 11 for Tomorrow\n                De gea\nValencia Bailly Smalling Young\n       Herrera Matic Pogba\n  Sanchez\xe2\x80\xa6 https://t.co/CpiYJPyFm3',London
2018-04-20 18:59:10,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:57:52,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:57:39,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:52:06,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:51:01,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:50:29,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:46:52,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 18:37:56,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
