2018-04-19 16:51:02,"b"" #Woky INFO-HUB for all Reading reading &gt; https://t.co/cTnEYKdd77 &lt; links to local News and Sport sites, What's On, Travel\xe2\x80\xa6 https://t.co/gW1Fl0U2ch""",London
2018-04-19 16:40:10,"b"" #Woky USUAL top list of Events in the #Rdg area tonight &gt; https://t.co/cTnEYKdd77  &lt; What's On, with full contact details\xe2\x80\xa6 https://t.co/RJPDRHeVDC""",London
2018-04-19 16:39:05,"b"" #Woky RT @ReadingGuide: TRAVELLING this week? Don't leave home without checking &gt; https://t.co/cTnEYKdd77 &lt; for links to live Road, Rail, Air and\xe2\x80\xa6""",London
2018-04-19 16:32:00,b'Councillors have been recommended to approve the plans #Bracknell #Woky  https://t.co/g8rZ7Egi8n',London
2018-04-19 16:32:00,b'Councillors have been recommended to approve the plans #Bracknell #Woky  https://t.co/vBYE6wDAQH',London
2018-04-19 16:07:39,"b' #Woky RT @FastTrackFitCmp: Join us for our #charity family Fit Camp on Sunday 29 April at Bearwood Rec, Winnersh. All welcome &amp; all proceeds go t\xe2\x80\xa6'",London
2018-04-19 15:55:30,b'RT @WokinghamBC: A licensed waste carrier has been convicted of causing fly-tipping on Castle Hill #woky https://t.co/zO37lbzfXJ https://t.\xe2\x80\xa6',London
2018-04-19 15:51:18,b'A licensed waste carrier has been convicted of causing fly-tipping on Castle Hill #woky https://t.co/zO37lbzfXJ https://t.co/R8W8LMWXy4',London
2018-04-19 15:46:54,b'People are being urged to be vigilant and report any dumped rubbish #woky  https://t.co/dLqfv2mJUY',London
2018-04-19 15:35:14,"b' #Woky Join us for our #charity family Fit Camp on Sunday 29 April at Bearwood Rec, Winnersh. All welcome &amp; all proceeds g\xe2\x80\xa6 https://t.co/sdwDiLaCSz'",London
2018-04-19 14:54:48,"b'Fingers crossed you get your ice cream, Lynda! #woky #berkshire #bringicecream https://t.co/4SuXdueXiX'",London
2018-04-19 14:53:36,b'What a lovely story! \xf0\x9f\x98\x8d #Woky #WokinghamRocks https://t.co/3NoyKDZZHC',London
2018-04-19 14:45:01,"b' #Woky @WokinghamBC @WBCConservative @johnredwood Do we see a ""blimey we better pull our finger out before the local elect\xe2\x80\xa6 https://t.co/6QOCrrvIfB'",London
2018-04-19 14:44:18,"b'If you drive an ice cream van in the Wokingham area, please come to Forest Court / Oaklands Park NOW! Thanks. \xf0\x9f\x8d\xa6#Woky'",London
2018-04-19 14:25:57,b' #Woky RT @re3recycling: Fancy a takeaway tonight? If your tasty meal comes in the aluminium tray please rinse it and pop into your recycling bin!\xe2\x80\xa6',London
2018-04-19 12:55:58,"b"" #Woky RT @ReadingGuide: USUAL top list of Events in the #Rdg area today/tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with contact details #Wind\xe2\x80\xa6""",London
2018-04-19 12:36:38,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
2018-04-19 12:09:24,b'#Berkshire #Overnight #Weather #Thursday #Reading #Bracknell #Newbury #Maidenhead #Slough #Wokingham #Windsor #woky\xe2\x80\xa6 https://t.co/2oANAWFrHd',London
2018-04-19 12:06:58,b' #Woky #Berkshire #Weather #4DaysOnly #weekend #Reading #Bracknell #Newbury #Maidenhead #Slough #Wokingham #Windsor #rdguk\xe2\x80\xa6 https://t.co/iiNJLbCeMw',London
2018-04-19 11:17:00,b'No one has ever moved in to the huge office block #Bracknell #Woky  https://t.co/g8rZ7ExSZV',London
2018-04-19 11:17:00,b'No one has ever moved in to the huge office block #Bracknell #Woky  https://t.co/vBYE6wDAQH',London
2018-04-19 09:58:17,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
2018-04-19 09:58:11,b' #Woky A nice mention in the @dawkesmusic blog. Thanks guys! https://t.co/u56ZORdhrC @NCBF_festival #ncbffestival2018\xe2\x80\xa6 https://t.co/9CRakY6vi2',London
2018-04-19 09:42:39,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
2018-04-19 09:30:25,b' #Woky RT @re3recycling: Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they could b\xe2\x80\xa6',London
2018-04-19 09:04:25,"b"" #Woky USUAL top list of Events in the #Rdg area today/tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with contact details\xe2\x80\xa6 https://t.co/T096VJPYDS""",London
2018-04-19 09:04:02,b' #Woky TRAIN to catch or meet? Is it on time? Delayed? See &gt; https://t.co/cTnEYKdd77 &lt; for link to live departures/arrival\xe2\x80\xa6 https://t.co/NjQxHfy6t4',London
2018-04-19 08:57:43,b'#ICYMI The road is now open #woky  https://t.co/6q3z3hG01w',London
2018-04-19 08:51:27,"b' #Woky **FOR SALE** - Nine Mile Ride - OIEO \xc2\xa3660,000\nA modern, extended 4 bedroom house set on a 200ft long plot boasting\xe2\x80\xa6 https://t.co/9w2fJdgq2r'",London
2018-04-19 08:50:27,b'#emmbrook in #woky #wokingham now open @wokingham_co_uk https://t.co/RpUXYOdQOt',London
2018-04-19 08:35:26,b' #Woky Hot weather is here and some of us will order iced coffees and smoothies that come with plastic straws. Soon they c\xe2\x80\xa6 https://t.co/GQJV4FEEoJ',London
2018-04-19 08:15:13,b'Support local this #UKCoffeeWeek - try out #Woky @OSLARCOFFEE they have hot and cold snacks and #glutenfree too. I love the Monsoon Malabar.',London
2018-04-19 06:31:04,"b' #Woky RT @happyfamilyhub: If you want to shout about the best places to go with the kids in Berkshire, vote for your faves in the Little Ankle Bi\xe2\x80\xa6'",London
2018-04-18 17:44:48,"b"" #Woky USUAL top list of Events in the #Rdg area tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with contact details\xe2\x80\xa6 https://t.co/MIIkfqR8bm""",London
2018-04-18 17:29:58,"b' #Woky RT @happyfamilyhub: If you want to shout about the best places to go with the kids in Berkshire, vote for your faves in the Little Ankle Bi\xe2\x80\xa6'",London
2018-04-18 16:47:45,b'RT @getwokingham: Some good news for drivers #woky  https://t.co/6q3z3hG01w',London
2018-04-18 16:47:23,b'Some good news for drivers #woky  https://t.co/6q3z3hG01w',London
2018-04-18 14:48:30,"b' #Woky RT @happyfamilyhub: If you want to shout about the best places to go with the kids in Berkshire, vote for your faves in the Little Ankle Bi\xe2\x80\xa6'",London
2018-04-18 14:39:42,"b' #Woky If you want to shout about the best places to go with the kids in Berkshire, vote for your faves in the Little Ankl\xe2\x80\xa6 https://t.co/gzRjpOSD7e'",London
2018-04-18 14:16:58,b' #Woky We hope you\xe2\x80\x99re enjoying this lovely sunny weather and it looks like re3 bottle banks do not complain too! \xe2\x98\x80\xef\xb8\x8f \xf0\x9f\x98\x8e  Mak\xe2\x80\xa6 https://t.co/SLiOLlY1Sx',London
2018-04-18 14:03:53,"b"" #Woky RT @ReadingGuide: SIMPLY THE BEST list of Events in the #Rdg area today/tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On with full details #Wi\xe2\x80\xa6""",London
2018-04-18 14:00:48,"b"" #Woky RT @ReadingGuide: SIMPLY THE BEST list of Events in the #Rdg area tonight &gt; https://t.co/cTnEYKdd77 &lt; What'sOn with full details #Windsor #\xe2\x80\xa6""",London
2018-04-18 13:31:54,b' #Woky TRAIN to catch or meet? Is it on time? Delayed? See &gt; https://t.co/cTnEYKdd77 &lt; for link to live departures/arrival\xe2\x80\xa6 https://t.co/Jwto0ERyF4',London
2018-04-18 13:29:41,b' #Woky RT @ReadingGuide: NO MIDWEEK MATCH for #ReadingFC but #Maidenhead Utd keep #Berkshire flag flying with 3rd straight win in the National Lea\xe2\x80\xa6',London
2018-04-18 13:29:23,"b"" #Woky RT @ReadingGuide: USUAL top list of Events in the #Rdg area today/tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with contact details #Wind\xe2\x80\xa6""",London
2018-04-18 13:13:39,b' #Woky Good to see Ashridge Park setting up a girls team which is currently looking for players - https://t.co/KHGUlfZ57C\xe2\x80\xa6 https://t.co/P0URczLffO',London
2018-04-18 11:05:15,b'Budding bakers (children and adults) invited to bake off in Wokingham #woky https://t.co/XCvExdysaG https://t.co/YAGjfWcUuG',London
2018-04-18 11:00:18,b' #Woky Did you know that last Sunday was #MicroVolunteeringDay? Volunteering is a great way to improve your health &amp; well-\xe2\x80\xa6 https://t.co/i2U5nr4C7g',London
2018-04-18 10:57:15,"b' #Woky RT @_EStacey: Just had my first interview with the press! It went really well, now looking forward to the last couple of weeks of the campa\xe2\x80\xa6'",London
2018-04-18 10:30:37,"b' #Woky Just had my first interview with the press! It went really well, now looking forward to the last couple of weeks of\xe2\x80\xa6 https://t.co/2KtABSiW4V'",London
2018-04-18 10:10:11,b' #Woky Did you know we have a weekly pay-as-you-go session in #Winnersh? Sunday Wake Up! the best thing on a Sunday mornin\xe2\x80\xa6 https://t.co/sosMbmXwLQ',London
2018-04-18 09:10:06,"b"" #Woky USUAL top list of Events in the #Rdg area today/tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with contact details\xe2\x80\xa6 https://t.co/I2Cwt3YniS""",London
2018-04-18 09:09:11,b' #Woky NO MIDWEEK MATCH for #ReadingFC but #Maidenhead Utd keep #Berkshire flag flying with 3rd straight win in the Nation\xe2\x80\xa6 https://t.co/SILRZSR1MP',London
2018-04-18 08:13:47,b'RT @getreading: The girl was taken to hospital after this frightening attack #woky #rdguk https://t.co/zeM2Z2kwGy',London
2018-04-18 08:07:08,b'RT @getreading: The girl was taken to hospital after this frightening attack #woky #rdguk https://t.co/zeM2Z2kwGy',London
2018-04-18 07:42:28,b' #Woky New photos taken at @cantleyhotel have been added to my portfolio. Temperatures reached 30\xc2\xb0 on this Thursday last J\xe2\x80\xa6 https://t.co/j72PToc4IF',London
2018-04-18 07:16:00,b'The girl was taken to hospital after this frightening attack #woky #rdguk https://t.co/zeM2Z2kwGy',London
2018-04-18 06:58:05,b' #Woky RT @re3recycling: Thank you to everyone who made suggestions for our glass recycling truck competition! We can now reveal two names that wi\xe2\x80\xa6',London
2018-04-17 22:00:48,"b"" #Woky RT @SMART_Wokingham: We are? Who's idea was this!?! \xf0\x9f\x98\x82\xf0\x9f\x98\x89\n\nRight then you wonderful people of twitter please help us reach our target. No dona\xe2\x80\xa6""",London
2018-04-17 21:27:51,b'RT @re3recycling: Let the battle commence! Vote now to choose the name for one of our new re3 glass recycling truck! #bracknell #rdguk #woky',London
2018-04-17 21:06:51,b' #Woky RT @re3recycling: Thank you to everyone who made suggestions for our glass recycling truck competition! We can now reveal two names that wi\xe2\x80\xa6',London
2018-04-17 21:04:10,b' #Woky NO MIDWEEK MATCH for #ReadingFC but #Maidenhead Utd keep #Berkshire flag flying with 3rd straight win in the Nation\xe2\x80\xa6 https://t.co/Eh5kuaEI7q',London
2018-04-17 20:49:28,"b' #Woky RT @BerksWeatherUK: Berkshire Weather - Berkshire Overnight Forecast for Tuesday 17th April.Clear Spells,minimum temp. 6 degrees.\n#Berkshir\xe2\x80\xa6'",London
2018-04-17 20:48:54,b' #Woky RT @Age_UK_Reading: Excited to announce our newest social club! Opening on Thurs 19th Apr at The Birches in Woodley. Our clubs are for olde\xe2\x80\xa6',London
2018-04-17 20:48:37,"b' #Woky RT @BerksWeatherUK: Berkshire Weather - Berkshire Daytime Forecast for Wednesday 18th April.Sunny, temperature of 22 degrees (72 f) locally\xe2\x80\xa6'",London
2018-04-17 20:46:00,b'Police are hunting for a man with a cut on his face after this frightening attack #woky #rdguk https://t.co/zeM2Z22VP0',London
2018-04-17 19:58:36,"b' #Woky RT @WoodleyLabour: You\xe2\x80\x99re unlikely to turn into a werewolf at midnight tonight, but if you don\xe2\x80\x99t get registered by then, you definitely won\xe2\x80\xa6'",London
2018-04-17 19:57:59,b'RT @getreading: Police are hunting for a man with a cut on his face #woky #rdguk https://t.co/zeM2Z22VP0',London
2018-04-17 19:55:12,"b' #Woky RT @WoodleyLabour: You\xe2\x80\x99re unlikely to turn into a werewolf at midnight tonight, but if you don\xe2\x80\x99t get registered by then, you definitely won\xe2\x80\xa6'",London
2018-04-17 19:52:15,"b' #Woky RT @WoodleyLabour: You\xe2\x80\x99re unlikely to turn into a werewolf at midnight tonight, but if you don\xe2\x80\x99t get registered by then, you definitely won\xe2\x80\xa6'",London
2018-04-17 19:44:06,"b' #Woky RT @WoodleyLabour: You\xe2\x80\x99re unlikely to turn into a werewolf at midnight tonight, but if you don\xe2\x80\x99t get registered by then, you definitely won\xe2\x80\xa6'",London
2018-04-17 19:35:47,b'RT @WBC_Libraries: Richard and Judy Book Club Summer 2018 Books - borrow the new selection from #woky libraries now @wokinghambc https://t.\xe2\x80\xa6',London
