2018-04-20 20:01:43,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:01:42,b'RT @Newsweek: Bernie Sanders joins Cory Booker\xe2\x80\x99s marijuana justice act to federally legalize weed https://t.co/GFdgrla5wj #420day https://t\xe2\x80\xa6',California
2018-04-20 20:01:41,b'Hookah lounge finna b lit tonight \xf0\x9f\x94\xa5\xe2\x9b\xbd\xef\xb8\x8f #420day',California
2018-04-20 20:01:41,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:40,b' #420day RT @truthout: As people of color continue to be disproportionately impacted by drug convictions we look at the state of legalization and wh\xe2\x80\xa6',California
2018-04-20 20:01:40,b'RT @blackenterprise: 11 Top African American Cannabis Entrepreneurs You Should Know #420day https://t.co/Tln8nnr90E https://t.co/B4gTk677ej',California
2018-04-20 20:01:40,b'This should be a legal day OFF! #420day #Canibus #MarijuanaJusticeAct https://t.co/wq91wKWb2Q',California
2018-04-20 20:01:40,b'RT @MensHealthMag: Meet the athletes who swear marijuana helps them improve their performance\n#420day https://t.co/hCrBesbGW8',California
2018-04-20 20:01:39,b'@joshpluszero Can we be blunt? Your papers are on the way right meow. #SuperTroopers420 \xf0\x9f\x8c\xb2 #420day',California
2018-04-20 20:01:39,"b'RT @MGF_Selen: Feeling #FriskyFriday ??? I will be on cam all evening, online now! \xf0\x9f\x92\xa6\xf0\x9f\x92\xa6\n\nhttps://t.co/BmL8gYBFF7\n\n#newtoy #camgirl #420day #h\xe2\x80\xa6'",California
2018-04-20 20:01:39,b'Future: #1 Vacation Planet Cannabis \nthe greenest mellowest planet in the universe \xf0\x9f\x98\x82 #420day https://t.co/LAGormcyxw',California
2018-04-20 20:01:39,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:39,"b""RT @theCHIVE: don't do drugs, y'all #420day https://t.co/NzunAylEH4""",California
2018-04-20 20:01:39,b'RT @PBCountySheriff: Why blaze it when you could glaze it? #420day https://t.co/RPptkd4U3t',California
2018-04-20 20:01:38,"b' #420day Modern baby strollers make life a little bit less hectic. Strollers are now designed for infants, toddlers, twins a\xe2\x80\xa6 https://t.co/COgRFlZHHA'",California
2018-04-20 20:01:38,b'RT @SuperHera: Happy #420day y\xe2\x80\x99all #newcaprica #spaceparents #puff #puff #pass https://t.co/Cibka9jf1P',California
2018-04-20 20:01:37,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:37,b'Perhaps the true marijuana was the friends we made along the way. #420Day',California
2018-04-20 20:01:37,b'RT @SuperHera: Happy #420day y\xe2\x80\x99all #newcaprica #spaceparents #puff #puff #pass https://t.co/Cibka9jf1P',California
2018-04-20 20:01:37,b'RT @SomeonesAnIdiot: One of the greatest quotes of all time #420day https://t.co/tAarClAaS2',California
2018-04-20 20:01:36,"b""RT @theCHIVE: don't do drugs, y'all #420day https://t.co/NzunAylEH4""",California
2018-04-20 20:01:36,b'@Diegonat95 Roll safe with your buds. Click here to confirm your order. https://t.co/LBdT7ho0f1 #SuperTroopers420 \xf0\x9f\x8c\xb2 #420day',California
2018-04-20 20:01:36,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:36,b'@NKaity Roll safe with your buds. Click here to confirm your order. https://t.co/xOBQ1NOXCQ #SuperTroopers420 \xf0\x9f\x8c\xb2 #420day',California
2018-04-20 20:01:36,"b' #420day RT @TonyT4NV: While legalizing/regulating marijuana is an excellent step to end the War on Drugs, we must prevent monopolists from controll\xe2\x80\xa6'",California
2018-04-20 20:01:35,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
2018-04-20 20:01:35,b'@RATEDAR Roll safe with your buds. Click here to confirm your order. https://t.co/voz2IlUwC8 #SuperTroopers420 \xf0\x9f\x8c\xb2 #420day',California
2018-04-20 20:01:35,b' #420day RT @Bvweir: @UnknownComic007 I don\xe2\x80\x99t see why we don\xe2\x80\x99t just make this an impromptu #FBRParty to celebrate this #SpecialDay\n\nLook at this:\xe2\x80\xa6',California
2018-04-20 20:01:35,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:34,"b""RT @HuffPost: On #420day, here's the exhaustive list of everyone who's died of a marijuana overdose.\n\nOh wait. \n\nThere's no one. https://t.\xe2\x80\xa6""",California
2018-04-20 20:01:34,b'RT @PBCountySheriff: Why blaze it when you could glaze it? #420day https://t.co/RPptkd4U3t',California
2018-04-20 20:01:34,b'RT @TheLsb1: When it hits you too hard but you tryna be cool #420day #Happy420 #fridayfeeling https://t.co/ZmvHvK8hPT',California
2018-04-20 20:01:34,"b' #420day RT @AvinashSamarth: today: remember all those who have been suspended, expelled, evicted, fired, made ineligible for student loans, forced\xe2\x80\xa6'",California
2018-04-20 20:01:34,"b'RT @TheHipQOTD: I left your house this morning\nabout a quarter after nine\nCoulda been the Willie Nelson,\nCoulda been the Wine\n\n#420Day\n#Tra\xe2\x80\xa6'",California
2018-04-20 20:01:34,"b'@soulphoodie thanks 4 tha #follow, #followedback !\n\n#Happy420\n#420day\n#SuperTroopers2\n#NationalSchoolWalkout\xe2\x80\xa6 https://t.co/6xVNqh1Kea'",California
2018-04-20 20:01:33,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:33,"b' #420day RT @MrFilmkritik: On this 4/20, let\xe2\x80\x99s think about how Bob Marley has been reduced to a stereotype around weed instead of the revolutionary\xe2\x80\xa6'",California
2018-04-20 20:01:31,b'RT @harikondabolu: All marijuana should be considered \xe2\x80\x9cmedicinal\xe2\x80\x9d while Trump is President. #420Day',California
2018-04-20 20:01:31,b'RT @highsnobiety: Happy #420day \xf0\x9f\x94\xa5\xf0\x9f\x8c\xbf\xf0\x9f\x92\xa8 https://t.co/rhhT66ypMd',California
2018-04-20 20:01:31,"b""RT @theCHIVE: even the reporter can't handle it \xf0\x9f\x92\x80 #420day https://t.co/rjo1miiD34""",California
2018-04-20 20:01:30,b' #420day RT @eugenegu: Free all the people of color rotting in prison while John Boehner and a bunch of rich white people get richer selling weed. #\xe2\x80\xa6',California
2018-04-20 20:01:30,"b' #420day RT @RanttMedia: Marijuana has killed 0 people.\n\nIn fact, states that offer medical marijuana actually see a decrease in opioid prescription\xe2\x80\xa6'",California
2018-04-20 20:01:30,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:30,b'RT @ProgressVoice: RETWEET IF YOU THINK WE SHOULD LEGALIZE MARIJUANA!!\n\n#420day #weedweek #420Books',California
2018-04-20 20:01:29,"b""For those who don't know marijuana was criminalized due to racism.\nThis needs to stop.  #420day  https://t.co/Y4ovpQg8mo""",California
2018-04-20 20:01:29,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:01:28,b'RT @LogoTV: #420day mood: \xf0\x9f\x98\x89\n@monetxchange https://t.co/XrwyF17dAT',California
2018-04-20 20:01:28,"b' #420day RT @girlsreallyrule: We mass incarcerate minorities and the poor for selling marijuana, but the pharamcueitcal companies, lobbyists and pha\xe2\x80\xa6'",California
2018-04-20 20:01:28,b' #420day RT @libertytarian: 4/20 is #10thAmendment Success!\n#Nullification Of #Marijuana Prohibition\n\n@mmaharrey10th joins me to talk about the impo\xe2\x80\xa6',California
2018-04-20 20:01:27,b'RT @BroHumors: My boy out here high af on 4/20 trying to eat cars n shit #420day https://t.co/ZufIDsMwsL',California
2018-04-20 20:01:27,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:01:26,b'RT @jlarrison: In honor of #420day - if you are a big fan of @SurvivorCBS #GhostIsland \xe2\x80\x93 you will love this shirt from @JonnyFairplay  - it\xe2\x80\xa6',California
2018-04-20 20:01:26,"b""#FridayFeeling it's #420day  so you do the math... I'm throwing my stilettos on, picking up my girls, and let the\xe2\x80\xa6 https://t.co/pBOY98OtJ5""",California
