2018-04-20 19:51:09,"b"" #RingStruck4 Probably the matches I've rewatched the most. I love everything about all of these matches. They have absolutely ev\xe2\x80\xa6 https://t.co/K3ksgzbaNl""",California
2018-04-20 19:51:02,"b""Just like game struck, it's too hard to narrow it down to 4.  #ringstruck4 https://t.co/TlMDTp4Uw9""",California
2018-04-20 19:50:58,"b""#ringstruck4 \nThis was soo hard. I couldn't honestly choose but these matches were the ones for me.\nHonourable ment\xe2\x80\xa6 https://t.co/Np95oPnVP0""",California
2018-04-20 19:50:40,"b' #RingStruck4 @WrestlingSheet I tried to pick 4 that helped me become a fan, compared to things that would be in my top matches n\xe2\x80\xa6 https://t.co/efW4JYNNH0'",California
2018-04-20 19:50:36,b'What the hell is #ringstruck4',California
2018-04-20 19:50:11,b' #RingStruck4 RT @KAYBEEGaming_: 1. @RandyOrton vs @RealMickFoley \n2. @WWEAleister vs @VelveteenWWE \n3. @ShawnMichaels vs The Undertaker\n4. @TheRock  vs\xe2\x80\xa6',California
2018-04-20 19:50:02,b' #RingStruck4 I stopped watching Wrestling and these are the matches that got me back into it. And gave my my 4 fav wrestlers (Sa\xe2\x80\xa6 https://t.co/crJDYxb4tZ',California
2018-04-20 19:49:42,b' #RingStruck4 1. @RandyOrton vs @RealMickFoley \n2. @WWEAleister vs @VelveteenWWE \n3. @ShawnMichaels vs The Undertaker\n4. @TheRock\xe2\x80\xa6 https://t.co/UeCsRRa2Wa',California
2018-04-20 19:49:26,b'Ridiculously tough to pick four matches that shaped you into the wrestling fan! But here goes...\n\n#RingStruck4 https://t.co/Wy3b66zYEV',California
2018-04-20 19:49:25,"b'Three of my #RingStruck4 are easy. #4 went back and forth between Taker, Andre, and the Macho Man. https://t.co/jvMNNH4vs9'",California
2018-04-20 19:49:11,"b'RT @M0rePrettyLies: This shit was so hard, I have so many favourite matches \xf0\x9f\x99\x8c\xf0\x9f\x98\x82 #ringstruck4 https://t.co/MYbD1Zsp7O'",California
2018-04-20 19:49:04,b'#ringstruck4 the explosion of the Mega Powers really brought me in. I loved both Macho and @HulkHogan . GAB 90 show\xe2\x80\xa6 https://t.co/R5oFHapGmt',California
2018-04-20 19:48:50,"b""RT @CutlerCoalition: #ringstruck4\n\nSome of my favorite moments during my 1st year as a wrestling fan occured at these ppv's.\n\nEven now, loo\xe2\x80\xa6""",California
2018-04-20 19:48:10,b' #RingStruck4 RT @AC_Nolting1: @WrestlingSheet Four matches that shaped me into the fan I am??? Easy \nAustin vs Bret is an all time great that introduced\xe2\x80\xa6',California
2018-04-20 19:47:59,b' #RingStruck4 One helped me become a huge wrestling fan again.\n\nOne greatly boosted my interest in indie wrestling.\n\nOne made me\xe2\x80\xa6 https://t.co/v0HINAtgij',California
2018-04-20 19:47:55,"b'Four matches that shaped my life as a fan, a former performer, and a person. #ringstruck4 https://t.co/g6J0IuQenA'",California
2018-04-20 19:47:53,b'RT @NBRSuperstar: #ringstruck4  @WrestlingSheet\n\n- Ibushi/Styles: My first real exposure to New Japan \n\n- Rock/Austin II: The Definition of\xe2\x80\xa6',California
2018-04-20 19:47:41,"b'#ringstruck4\nAs of right now, these are the 4 that came to my head.\n1) The storyline that got me into WWE\n2) Seeing\xe2\x80\xa6 https://t.co/VAIx594kpW'",California
2018-04-20 19:47:38,b' #RingStruck4 RT @TheRealJayTim: Rock&amp;Austin: my 2 idols clashing at Mania for the title on my birthday\nPunk&amp;Cena: rekindled and increased my interest in\xe2\x80\xa6',California
2018-04-20 19:47:35,b' #RingStruck4 My fav matches of all time. All iconic matches. The 1st and 3rd are the main matches I remember vividly when I star\xe2\x80\xa6 https://t.co/QnAg1rGCZm',California
2018-04-20 19:47:11,b'@WrestlingSheet so hard to get down to four. Don\xe2\x80\x99t @ me for my final choice. #RingStruck4 https://t.co/1Phob5Nbvz',California
2018-04-20 19:46:58,b'#ringstruck4 Some of my favorite matches from over the years https://t.co/bHPNjrfYDA',California
2018-04-20 19:46:38,"b""#ringstruck4\n\nSome of my favorite moments during my 1st year as a wrestling fan occured at these ppv's.\n\nEven now,\xe2\x80\xa6 https://t.co/9bB1137gW0""",California
2018-04-20 19:46:36,b'#RingStruck4 Soo many\nThere are so many matches that boggles my mind that i only have to come up with 4 that really\xe2\x80\xa6 https://t.co/AHJLU9tA5I',California
2018-04-20 19:46:32,b'Too damn many too choose from but my 4 is... #ringstruck4 https://t.co/oFAe8ry7RG',California
2018-04-20 19:46:29,"b'Impossible, but #RingStruck4 https://t.co/r9jjfLr0Cu'",California
2018-04-20 19:46:23,"b'#RingStruck4  this is crazy hard. But these were the ones that came to me, as the evolution of my fandom, &amp; the evo\xe2\x80\xa6 https://t.co/8Bq8tvB9Q8'",California
