2018-04-20 18:19:23,"b' #LABCSummit18 RT @Bryn_Lindblad: Twice in one day -- what a treat. This time Chair of @AirResources @MaryNicholsCA is marveling at the inclusive, sustain\xe2\x80\xa6'",California
2018-04-20 18:19:03,"b' #LABCSummit18 CA OR WA have 1/5 of the world\xe2\x80\x99s economy, better than average GDP growth, WHILE clean energy production is almost d\xe2\x80\xa6 https://t.co/EBEVy1WlqS'",California
2018-04-20 18:18:57,b' #LABCSummit18 RT @sustainCSUN: We\xe2\x80\x99re looking forward to joining our friends at the @labctweets  for their 12th Annual Sustainability Summit. Dr. Erica Wo\xe2\x80\xa6',California
2018-04-20 18:18:43,b' #LABCSummit18 RT @SCE_CarolynS: Workforce development 500k clean energy jobs in CA and the Epic Center of innovation. - Hon. Kevin de Leon The Figueroa f\xe2\x80\xa6',California
2018-04-20 18:18:22,b' #LABCSummit18 #Top 20+ #Best #Free #movies #downloads #Sites To #Download #Full #HD #Movies\n #FreeMovieFriday\xe2\x80\xa6 https://t.co/8UiwQpaNMG',California
2018-04-20 18:18:13,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:16:31,b'Washington Mayor Inslee says WA RPS turned into a $7billion industry for the state #LABCSummit18 #dropthemike',California
2018-04-20 18:15:58,b' #LABCSummit18 States and cities are stepping up to #ActOnClimate thanks to @JayInslee @MayorOfLA @ClimateMayors @KateBrownForOR.\xe2\x80\xa6 https://t.co/2UGihn3wJs',California
2018-04-20 18:15:50,b' #LABCSummit18 #Top 40 #Best #Free #Movie #Streaming #Sites 2018\nhttps://t.co/SY1wn64dzm\n\n#FreeMovieStreamingSites\n#Movies\xe2\x80\xa6 https://t.co/TGkWnmb7gl',California
2018-04-20 18:15:28,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
