2018-04-20 19:25:58,"b'RT @ABAbook: Booksellers on the red carpet! Or as we like to call it, the ""read carpet."" ABA CEO Oren Teicher caught up with #GreatReadPBS\xe2\x80\xa6'",
2018-04-20 19:25:53,b'RT @matlock: Very pleased to announce the launch of the #GreatReadPBS @Storythings is proud to be working on the digital campaign with @Pos\xe2\x80\xa6',
2018-04-20 19:25:39,"b' #GreatReadPBS RT @simonschuster: This summer, @PBS is kicking off the #GreatAmericanRead, a quest to find America\xe2\x80\x99s most beloved book. Today, the top 100\xe2\x80\xa6'",
2018-04-20 19:24:56,"b'RT @ABAbook: Booksellers on the red carpet! Or as we like to call it, the ""read carpet."" ABA CEO Oren Teicher caught up with #GreatReadPBS\xe2\x80\xa6'",
2018-04-20 19:24:42,"b""I honestly thought my score would be a little higher.  I've read 33 of the top 100 books @wfyi https://t.co/QQKO5wCLbo #GreatReadPBS""",
2018-04-20 19:24:36,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:24:21,"b' #GreatReadPBS Booksellers on the red carpet! Or as we like to call it, the ""read carpet."" ABA CEO Oren Teicher caught up with\xe2\x80\xa6 https://t.co/vz7k2x0qn0'",
2018-04-20 19:23:34,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:23:05,"b' #GreatReadPBS RT @andyweirauthor: I\'m thrilled to learn that ""The Martian"" is included in PBS\'s Great American Read!\n\nWhat novels inspired, moved, and sh\xe2\x80\xa6'",
2018-04-20 19:22:27,"b""TODAY, @PBS reveals The #GreatReadPBS list! Will you help pick America's best-loved novel? Learn more at\xe2\x80\xa6 https://t.co/BRpgxqWnm9""",
2018-04-20 19:22:00,"b"" #GreatReadPBS Check out all our books featured on @PBS's The Great American Read, including what our book people have to say abou\xe2\x80\xa6 https://t.co/xevRcpSzft""",
2018-04-20 19:21:42,"b""Check out this list of America's 100 favorite novels as part of The Great American Read! #GreatReadPBS https://t.co/IvSVkjyUaE""",
2018-04-20 19:20:59,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:20:52,"b""TODAY, @PBS reveals The #GreatReadPBS list! Will you help pick America's best-loved novel? Learn more at\xe2\x80\xa6 https://t.co/FkMkXCSy5u""",
2018-04-20 19:20:44,b' #GreatReadPBS RT @PBS: The Great American Read book list has been revealed! See if your favorites made the list \xe2\x80\x94 and get ready to vote after the series\xe2\x80\xa6',
2018-04-20 19:20:43,"b"" #GreatReadPBS RT @OutsidersHouse: Here's the list of America\xe2\x80\x99s 100 most-loved books brought to you by The Great American Read. The Outsiders by S.E. Hint\xe2\x80\xa6""",
